City_ID,City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
96,Guarapuava,BR,55.09,light rain,-25.3953,-51.4581,Küster Hotel | Guarapuava
97,Sabha,LY,69.76,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
99,Muros,ES,57.99,light rain,42.7762,-9.0603,Apartment Av. Castelao
102,Acapulco de Juárez,MX,84.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
103,Constitución,CL,57.15,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
104,Savelugu,GH,80.8,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
105,Roebourne,AU,79.74,clear sky,-20.7833,117.1333,Harding River Caravan Park
106,São Filipe,CV,72.46,few clouds,14.8961,-24.4956,Tortuga B&B
107,Ancud,CL,55.99,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
108,Montepuez,MZ,67.59,light rain,-13.1256,38.9997,PembaAparthotel
109,Pangai,TO,84.2,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
110,La Palma,US,66.99,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
111,Narsaq,GL,53.6,overcast clouds,60.9167,-46.05,Hotel Narsaq
113,Mâncio Lima,BR,74.08,broken clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
114,Sydney,AU,66.99,few clouds,-33.8679,151.2073,The Grace Sydney
115,Hithadhoo,MV,82.99,few clouds,-0.6,73.0833,Scoop Guest House
118,Port Alfred,ZA,65.19,broken clouds,-33.5906,26.891,The Halyards Hotel
119,Hambantota,LK,77.54,broken clouds,6.1241,81.1185,Bungalow 63
121,Taltal,CL,62.62,few clouds,-25.4,-70.4833,Residencial Karime
122,Jiquilpan,MX,80.6,clear sky,19.7798,-103.7768,Posada San Gabriel
124,Faanui,PF,79.86,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Brigantine,US,55.99,broken clouds,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
127,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
128,Coyhaique,CL,48.2,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
129,Namatanai,PG,84.38,scattered clouds,-3.6667,152.4333,Namatanai Hotel
130,Sabang,ID,82.56,overcast clouds,5.8933,95.3214,Hotel Citra
133,Shelburne,CA,57.99,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
134,Cidreira,BR,68.9,broken clouds,-30.1811,-50.2056,Hotel Castelo
135,Vila,PT,55.0,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
137,Neuquén,AR,55.4,clear sky,-38.9516,-68.0591,Hotel del Comahue
138,Chardara,KZ,61.77,clear sky,41.2547,67.9692,Жанаргул
139,Pochutla,MX,84.99,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
140,Tuatapere,NZ,48.0,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
143,Nkoteng,CM,69.08,broken clouds,4.5167,12.0333,Sanaga Beach Lodges
146,Praia da Vitória,PT,57.2,broken clouds,38.7333,-27.0667,Hotel Branco I
147,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
148,Geraldton,AU,64.4,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
149,Stillwater,US,71.6,clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
150,Dābhol,IN,74.75,scattered clouds,17.6,73.1667,Ashwamedh Resort
152,Vao,NC,75.63,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
153,Santarém,BR,82.4,clear sky,-2.4431,-54.7083,Ecotur Lodge
154,Biak,ID,80.53,overcast clouds,-0.9131,122.8766,Penginapan Kim
155,Kavieng,PG,84.22,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
157,Santa Isabel,BR,66.2,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
158,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
160,Katherine,AU,77.0,overcast clouds,-14.4667,132.2667,Pine Tree Motel
162,Riobamba,EC,75.2,light rain,-1.6667,-78.6333,Mansion Santa Isabella
163,New Norfolk,AU,55.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
164,Port Elizabeth,ZA,59.0,overcast clouds,-33.918,25.5701,39 On Nile Guest House
165,Ferme-Neuve,CA,60.8,overcast clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
166,Westport,US,57.2,clear sky,41.1415,-73.3579,The Westport Inn
167,Aksu,CN,53.33,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
168,Jamestown,US,53.6,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
173,East London,ZA,64.72,broken clouds,-33.0153,27.9116,Tu Casa
175,General Cepeda,MX,82.4,scattered clouds,25.3833,-101.45,Hacienda Los Jose
178,Presidente Epitácio,BR,73.71,scattered clouds,-21.7633,-52.1156,Hotel Itaverá
179,Bredasdorp,ZA,48.2,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
180,Naze,JP,75.2,few clouds,28.3667,129.4833,奄美ポートタワーホテル
181,Lebu,CL,54.27,clear sky,-37.6167,-73.65,Hostal Las Lilas
182,Baní,DO,81.0,clear sky,18.2833,-70.3333,Hospedaje Henriquez
183,Katastari,GR,57.0,scattered clouds,37.8333,20.7667,Clio
184,Lagoa,PT,58.96,broken clouds,39.05,-27.9833,Casa Das Faias
185,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
186,Fort Nelson,CA,48.2,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
187,Tevaitoa,PF,79.54,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
188,Los Llanos de Aridane,ES,68.0,clear sky,28.6585,-17.9182,Valle Aridane
189,Fairbanks,US,62.6,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
190,Contamana,PE,78.06,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
191,Carnarvon,AU,68.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
