City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Igarka,RU,2021-04-24 19:20:38,67.4667,86.5833,33.01,97,100,11.18
68,Mangai,CD,2021-04-24 19:20:39,-4.05,19.5333,70.93,98,100,1.43
69,Oussouye,SN,2021-04-24 19:20:39,12.485,-16.5469,82.4,83,0,11.5
70,Mutis,CO,2021-04-24 19:20:39,6.2262,-77.4044,82.2,79,98,4.45
71,Lompoc,US,2021-04-24 19:20:40,34.6391,-120.4579,60.01,67,69,8.05
72,Beira,MZ,2021-04-24 19:20:40,-19.8436,34.8389,73.4,83,0,8.99
73,Nanzhang,CN,2021-04-24 19:20:41,31.7765,111.8386,55.44,92,100,6.4
74,Tiksi,RU,2021-04-24 19:20:41,71.6872,128.8694,30.45,93,100,11.12
75,Storebo,NO,2021-04-24 19:20:41,60.0948,5.2271,43.0,56,20,13.8
76,Carroll,US,2021-04-24 19:20:42,39.5501,-77.0164,63.0,38,100,5.99
77,Bambous Virieux,MU,2021-04-24 19:20:42,-20.3428,57.7575,79.0,83,75,17.27
78,Ponta Do Sol,PT,2021-04-24 19:20:42,32.6667,-17.1,61.0,76,23,5.01
79,Kununurra,AU,2021-04-24 19:20:43,-15.7667,128.7333,57.2,77,9,2.3
80,Sibolga,ID,2021-04-24 19:20:43,1.7427,98.7792,74.44,93,100,5.73
81,Cape Town,ZA,2021-04-24 19:20:44,-33.9258,18.4232,63.0,88,0,6.91
82,Abu Samrah,SY,2021-04-24 19:20:44,35.3029,37.1841,74.19,40,96,9.31
83,Iracoubo,GF,2021-04-24 19:20:44,5.4802,-53.2011,78.08,86,100,12.53
84,Dikson,RU,2021-04-24 19:20:45,73.5069,80.5464,7.11,95,14,12.24
85,San Patricio,US,2021-04-24 19:20:45,28.017,-97.5169,96.8,11,1,16.11
86,Fort Smith,US,2021-04-24 19:16:00,35.3859,-94.3986,66.99,63,40,16.11
87,Ketchikan,US,2021-04-24 19:20:46,55.3422,-131.6461,55.4,41,1,11.5
88,Karachi,PK,2021-04-24 19:20:46,24.9056,67.0822,86.0,51,0,3.44
89,Codrington,AU,2021-04-24 19:20:47,-38.2667,141.9667,50.56,91,99,5.32
90,Buala,SB,2021-04-24 19:20:47,-8.145,159.5921,79.41,82,76,2.8
91,Surt,LY,2021-04-24 19:20:47,31.2089,16.5887,63.1,78,0,16.73
92,Zhangjiakou,CN,2021-04-24 19:20:48,40.81,114.8794,51.69,69,100,7.38
93,Limon,CR,2021-04-24 19:20:48,10.0,-83.0333,86.0,70,0,10.36
94,Seoul,KR,2021-04-24 19:20:08,37.5683,126.9778,51.8,87,0,3.44
95,Norman Wells,CA,2021-04-24 19:20:49,65.282,-126.8329,35.6,44,75,10.36
96,Saldanha,ZA,2021-04-24 19:20:49,-33.0117,17.9442,60.8,77,100,5.75
97,Port Alfred,ZA,2021-04-24 19:20:50,-33.5906,26.891,67.14,85,53,8.88
98,Kita,ML,2021-04-24 19:20:50,13.0349,-9.4895,97.18,21,22,6.11
99,Lebu,CL,2021-04-24 19:20:50,-37.6167,-73.65,57.58,69,0,17.43
100,Tomatlan,MX,2021-04-24 19:20:51,19.9333,-105.25,93.67,25,48,9.48
101,Finnsnes,NO,2021-04-24 19:20:52,69.2296,17.9811,32.0,55,75,5.75
102,Kroya,ID,2021-04-24 19:20:52,-7.6331,109.2461,77.65,79,28,3.29
103,Cairns,AU,2021-04-24 19:20:53,-16.9167,145.7667,73.4,100,75,8.05
104,Torbay,CA,2021-04-24 19:20:53,47.6666,-52.7314,53.6,35,40,28.77
105,Sironj,IN,2021-04-24 19:20:54,24.1,77.7,84.56,8,100,6.44
106,Grand-Santi,GF,2021-04-24 19:20:54,4.25,-54.3833,78.87,96,100,5.23
107,Bucerias,MX,2021-04-24 19:20:54,20.75,-105.3333,80.6,69,75,11.5
108,Jalu,LY,2021-04-24 19:20:55,29.0331,21.5482,68.9,54,0,25.21
109,Livingstonia,MW,2021-04-24 19:20:55,-10.606,34.1063,62.76,86,61,4.65
110,Flagstaff,US,2021-04-24 19:20:56,35.1981,-111.6513,64.0,21,1,27.63
111,Agadez,NE,2021-04-24 19:20:56,19.75,10.25,91.44,9,2,7.36
112,San Jose,US,2021-04-24 19:20:32,37.3394,-121.895,68.0,45,75,4.61
113,Tuatapere,NZ,2021-04-24 19:20:57,-46.1333,167.6833,48.0,90,100,7.0
114,Katsuura,JP,2021-04-24 19:18:42,35.1333,140.3,60.01,63,20,11.5
115,Upernavik,GL,2021-04-24 19:20:57,72.7868,-56.1549,34.2,85,11,5.91
116,Hatillo,PR,2021-04-24 19:20:58,18.4863,-66.8254,86.0,65,40,12.66
117,Arlit,NE,2021-04-24 19:20:58,18.7369,7.3853,92.71,7,4,5.28
118,Garowe,SO,2021-04-24 19:20:58,8.4054,48.4845,80.85,66,38,14.99
119,Iqaluit,CA,2021-04-24 19:20:59,63.7506,-68.5145,33.8,80,40,3.44
120,Adrar,MR,2021-04-24 19:20:59,20.5022,-10.0711,90.64,11,6,10.71
121,Progreso,MX,2021-04-24 19:21:00,21.2833,-89.6667,100.0,36,75,14.97
122,Marsh Harbour,BS,2021-04-24 19:21:00,26.5412,-77.0636,77.11,70,76,16.6
123,Pleasanton,US,2021-04-24 19:19:03,37.6624,-121.8747,64.0,42,40,11.5
124,Oran,DZ,2021-04-24 19:19:52,35.6911,-0.6417,68.0,56,75,8.05
125,Hobyo,SO,2021-04-24 19:21:01,5.3505,48.5268,84.2,69,55,12.84
126,Morro Bay,US,2021-04-24 19:21:01,35.3658,-120.8499,63.0,77,100,7.74
127,Akyab,MM,2021-04-24 19:17:00,20.15,92.9,80.64,76,87,10.27
128,Wufeng,CN,2021-04-24 19:21:02,27.45,104.8333,56.75,94,100,4.32
129,Carnarvon,AU,2021-04-24 19:21:02,-24.8667,113.6333,64.4,82,0,9.22
130,Yuli,NG,2021-04-24 19:21:03,9.6989,10.2744,88.54,50,100,12.24
131,Pisco,PE,2021-04-24 19:21:03,-13.7,-76.2167,73.4,68,0,20.71
132,Udachnyy,RU,2021-04-24 19:21:03,66.4167,112.4,17.56,97,100,4.16
133,Daru,PG,2021-04-24 19:21:04,-9.0763,143.2092,77.2,91,100,7.34
134,Wanning,CN,2021-04-24 19:21:04,18.8003,110.3967,77.9,92,66,9.26
135,Arraial Do Cabo,BR,2021-04-24 19:16:15,-22.9661,-42.0278,78.8,73,20,12.66
136,Quatre Cocos,MU,2021-04-24 19:21:05,-20.2078,57.7625,79.0,83,75,17.27
137,Beaumont,US,2021-04-24 19:20:39,30.0861,-94.1019,87.8,45,1,12.66
138,Pemangkat,ID,2021-04-24 19:21:05,1.1667,108.9667,78.78,83,87,5.19
139,Paicandu,BR,2021-04-24 19:21:06,-23.4575,-52.0486,80.6,44,20,9.22
140,Northam,GB,2021-04-24 19:16:09,51.0333,-4.2167,54.0,38,51,1.01
141,Panguna,PG,2021-04-24 19:21:06,-6.3164,155.4848,68.65,91,66,2.06
142,Russell,US,2021-04-24 19:21:06,32.3502,-85.1999,75.2,73,1,9.22
143,Kaoma,ZM,2021-04-24 19:21:07,-14.7833,24.8,66.29,50,31,5.64
144,Christchurch,NZ,2021-04-24 19:21:05,-43.5333,172.6333,50.0,100,90,2.3
145,Bozoum,CF,2021-04-24 19:21:07,6.3193,16.3799,70.52,93,100,4.76
146,Honningsvag,NO,2021-04-24 19:21:08,70.9821,25.9704,32.2,88,100,23.85
147,Airai,TL,2021-04-24 19:21:08,-8.9266,125.4092,57.27,92,51,2.75
148,Kahului,US,2021-04-24 19:21:09,20.8947,-156.47,75.2,83,40,17.27
149,Khash,IR,2021-04-24 19:21:09,28.2211,61.2158,72.93,8,100,4.29
150,Pevek,RU,2021-04-24 19:21:09,69.7008,170.3133,19.22,86,100,2.77
151,Kieta,PG,2021-04-24 19:16:23,-6.2167,155.6333,78.64,82,52,0.56
152,Abu Kamal,SY,2021-04-24 19:21:10,34.4506,40.9171,83.68,15,29,6.51
153,Te Anau,NZ,2021-04-24 19:21:10,-45.4167,167.7167,47.26,93,100,6.6
154,Sitka,US,2021-04-24 19:16:56,57.0531,-135.33,57.2,30,1,2.44
155,Sao Joao Da Barra,BR,2021-04-24 19:21:11,-21.6403,-41.0511,80.6,65,40,9.22
156,Mahibadhoo,MV,2021-04-24 19:21:11,3.7833,72.9667,83.32,74,7,8.46
157,Kruisfontein,ZA,2021-04-24 19:21:12,-34.0033,24.7314,59.0,92,100,1.01
158,Klaksvik,FO,2021-04-24 19:21:12,62.2266,-6.589,48.2,71,100,6.91
159,New Norfolk,AU,2021-04-24 19:21:12,-42.7826,147.0587,50.0,86,100,1.01
160,Deputatskiy,RU,2021-04-24 19:21:13,69.3,139.9,7.32,85,100,3.4
161,Antsohihy,MG,2021-04-24 19:21:13,-14.8796,47.9875,75.61,79,14,6.87
162,Constitucion,CL,2021-04-24 19:21:14,-35.3333,-72.4167,65.1,57,6,16.26
163,Conceicao Do Araguaia,BR,2021-04-24 19:21:06,-8.2578,-49.2647,89.6,62,20,6.91
164,Beian,NO,2021-04-24 19:21:15,63.6559,9.5683,35.6,87,40,16.11
165,Alofi,NU,2021-04-24 19:21:15,-19.0595,-169.9187,77.0,100,87,2.3
166,Porto Novo,BJ,2021-04-24 19:21:15,6.4965,2.6036,86.0,74,40,12.66
167,Henties Bay,NA,2021-04-24 19:21:16,-22.116,14.2845,65.5,80,0,5.23
168,Smithers,CA,2021-04-24 19:21:16,54.7804,-127.1743,50.0,29,40,5.75
169,Nemuro,JP,2021-04-24 19:21:17,43.3236,145.575,36.28,95,100,14.72
170,Caiaponia,BR,2021-04-24 19:21:17,-16.9567,-51.8103,82.8,31,12,4.12
171,Ushirombo,TZ,2021-04-24 19:21:17,-3.4919,31.9639,66.88,88,69,2.44
172,Teknaf,BD,2021-04-24 19:21:18,20.8624,92.3058,75.38,83,1,2.86
173,Hay River,CA,2021-04-24 19:21:18,60.8156,-115.7999,26.6,50,100,12.66
174,Fortuna,US,2021-04-24 19:21:18,40.5982,-124.1573,55.4,71,40,17.27
175,Labuan,MY,2021-04-24 19:21:19,5.2767,115.2417,78.01,88,20,4.81
176,Iaciara,BR,2021-04-24 19:21:19,-14.0958,-46.6317,88.05,40,49,1.52
177,Yungay,PE,2021-04-24 19:21:19,-9.1383,-77.7436,64.72,70,100,6.62
178,Benguela,AO,2021-04-24 19:21:20,-12.5763,13.4055,81.18,83,100,2.28
179,Portland,US,2021-04-24 19:20:28,45.5234,-122.6762,50.0,81,90,9.22
180,Mubi,NG,2021-04-24 19:21:20,10.2676,13.2644,78.78,52,100,9.33
181,Ilulissat,GL,2021-04-24 19:19:53,69.2167,-51.1,41.0,60,40,6.91
182,Nome,US,2021-04-24 19:21:21,64.5011,-165.4064,35.6,69,1,2.68
183,Sao Sebastiao,BR,2021-04-24 19:21:21,-23.76,-45.4097,75.2,75,44,5.01
184,Makakilo City,US,2021-04-24 19:21:22,21.3469,-158.0858,80.6,54,1,9.22
